,med_scores,record_idx,f1_scores
77884,0.0,14602,1.0
77886,0.0,14602,1.0
77888,0.0,14603,1.0
77890,0.0,14603,1.0
77892,8.0,14603,0.0
77894,0.0,14604,1.0
77896,0.0,14604,1.0
77898,0.0,14605,1.0
77900,0.0,14605,1.0
77902,0.0,14606,1.0
77904,0.0,14606,1.0
77906,0.0,14607,1.0
77908,0.0,14607,1.0
77910,2.0,14608,0.0
77912,0.0,14608,1.0
77914,2.0,14608,0.0
77916,0.0,14609,1.0
77918,0.0,14609,1.0
77920,0.0,14609,1.0
77922,6.0,14610,0.0
77924,6.0,14610,0.0
77926,8.0,14610,0.0
77928,0.0,14611,1.0
