,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
0,0.9888346195220947,0.977649986743927,0.983210563659668,83.49950232057655,"[11, 10, 7, 5]","[11, 10, 9, 8]","[100.0, 100.0, 77.77777777777777, 62.5]",1.0,11,11,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
1,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[23, 22, 21, 20]","[23, 22, 21, 20]","[100.0, 100.0, 100.0, 100.0]",1.0,23,23,1.0,1.0,1.0,1.0
2,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[15, 14, 13, 12]","[15, 14, 13, 12]","[100.0, 100.0, 100.0, 100.0]",1.0,15,15,1.0,1.0,1.0,1.0
3,0.9670892953872681,0.9670892953872681,0.9670892953872681,83.4452289722301,"[12, 10, 8, 6]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 80.0, 66.66666666666667]",1.0,12,12,1.0,0.8000000000000002,0.8181818181818182,0.8181818181818182
4,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
6,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
7,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
8,0.9700061678886414,0.9651936292648315,0.9651936292648315,57.73502691896257,"[10, 7, 4, 2]","[10, 9, 8, 7]","[100.0, 77.77777777777777, 50.0, 28.571428571428573]",1.0,10,10,0.8333333333333333,0.7,0.8181818181818182,0.8181818181818182
9,0.9541299343109131,0.9378876686096191,0.9459390640258789,80.07374029168083,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",0.800737402916808,9,11,0.8571428571428571,0.8421052631578948,0.8571428571428571,0.8571428571428571
10,0.958707332611084,0.964594841003418,0.9595282673835754,68.65890479690388,"[11, 8, 6, 5]","[12, 11, 10, 9]","[91.66666666666667, 72.72727272727273, 60.0, 55.55555555555556]",1.0,12,12,0.8571428571428572,0.6,0.761904761904762,0.761904761904762
11,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
12,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
13,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
14,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
15,0.9465445876121521,0.9596747756004333,0.9530644416809082,72.92571723872932,"[12, 10, 7, 4]","[12, 11, 10, 9]","[100.0, 90.9090909090909, 70.0, 44.44444444444444]",1.0,12,12,0.9523809523809523,0.7368421052631577,0.6666666666666666,0.6666666666666666
16,0.9274578094482422,0.9900549650192261,0.956466555595398,65.80370064762461,"[9, 7, 5, 3]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 62.5, 42.857142857142854]",1.0,10,10,0.9473684210526316,0.823529411764706,0.9473684210526316,0.9473684210526316
17,1.0,1.0,1.0,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
18,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
19,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
20,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[11, 10, 9, 8]","[11, 10, 9, 8]","[100.0, 100.0, 100.0, 100.0]",1.0,11,11,1.0,1.0,1.0,1.0
21,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
22,1.0,1.0,1.0,100.00000000000004,"[13, 12, 11, 10]","[13, 12, 11, 10]","[100.0, 100.0, 100.0, 100.0]",1.0,13,13,1.0,1.0,1.0,1.0
23,0.9625347256660461,0.9456934928894043,0.9456934928894043,50.88274727401554,"[9, 7, 4, 2]","[10, 9, 8, 7]","[90.0, 77.77777777777777, 50.0, 28.571428571428573]",0.9048374180359595,10,11,0.9166666666666666,0.7272727272727272,0.8333333333333333,0.8333333333333333
24,0.9999999403953552,0.9999999403953552,0.9999999403953552,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
25,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
26,0.8869006633758545,0.8859760165214539,0.8864380717277527,13.540372457315735,"[4, 1, 0, 0]","[7, 6, 5, 4]","[57.142857142857146, 16.666666666666668, 10.0, 6.25]",0.8668778997501817,7,8,0.6666666666666665,0.28571428571428575,0.6666666666666665,0.6666666666666665
27,0.9287740588188171,0.9287740588188171,0.9287740588188171,30.213753973567677,"[4, 2, 0, 0]","[5, 4, 3, 2]","[80.0, 50.0, 16.666666666666668, 12.5]",1.0,5,5,0.75,0.3333333333333333,0.75,0.75
28,1.0,1.0,1.0,100.00000000000004,"[10, 9, 8, 7]","[10, 9, 8, 7]","[100.0, 100.0, 100.0, 100.0]",1.0,10,10,1.0,1.0,1.0,1.0
29,0.9851210713386536,0.9643174409866333,0.9746081829071045,79.56371661921447,"[9, 7, 6, 5]","[9, 8, 7, 6]","[100.0, 87.5, 85.71428571428571, 83.33333333333333]",0.8948393168143697,9,10,0.9333333333333333,0.7692307692307692,0.9333333333333333,0.9333333333333333
30,0.9515131711959839,0.9382269382476807,0.9448233842849731,37.99178428257963,"[5, 3, 1, 0]","[6, 5, 4, 3]","[83.33333333333333, 60.0, 25.0, 16.666666666666668]",1.0,6,5,0.7272727272727272,0.4444444444444445,0.7272727272727272,0.7272727272727272
31,0.9636853337287903,0.9350001215934753,0.9409061670303345,52.3122368913534,"[5, 4, 2, 0]","[5, 4, 3, 2]","[100.0, 100.0, 66.66666666666667, 25.0]",0.8187307530779819,5,6,0.888888888888889,0.5714285714285715,0.888888888888889,0.888888888888889
32,0.9791467785835266,0.9701024889945984,0.9746036529541016,74.22205137359525,"[14, 11, 9, 7]","[14, 13, 12, 11]","[100.0, 84.61538461538461, 75.0, 63.63636363636363]",0.9310627797040228,14,15,0.9166666666666666,0.761904761904762,0.8695652173913043,0.8695652173913043
33,0.9631483554840088,0.9631483554840088,0.9631483554840088,45.96613576124595,"[9, 5, 3, 1]","[9, 8, 7, 6]","[100.0, 62.5, 42.857142857142854, 16.666666666666668]",1.0,9,9,1.0,0.7142857142857143,0.5,0.5
34,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[16, 15, 14, 13]","[16, 15, 14, 13]","[100.0, 100.0, 100.0, 100.0]",1.0,16,16,1.0,1.0,1.0,1.0
35,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
36,0.9831118583679199,0.974410891532898,0.9787420034408569,74.8705249982442,"[14, 12, 10, 8]","[15, 14, 13, 12]","[93.33333333333333, 85.71428571428571, 76.92307692307692, 66.66666666666667]",0.9355069850316178,15,16,0.9032258064516129,0.8275862068965518,0.9032258064516129,0.9032258064516129
37,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[18, 17, 16, 15]","[18, 17, 16, 15]","[100.0, 100.0, 100.0, 100.0]",1.0,18,18,1.0,1.0,1.0,1.0
38,0.9336239099502563,0.9553753733634949,0.9443744421005249,67.03420896351791,"[11, 9, 7, 5]","[13, 12, 11, 10]","[84.61538461538461, 75.0, 63.63636363636363, 50.0]",1.0,13,13,0.9090909090909091,0.8000000000000002,0.9090909090909091,0.9090909090909091
39,0.9383449554443359,0.9516737461090088,0.9449623823165894,31.02016197007,"[7, 4, 2, 0]","[9, 8, 7, 6]","[77.77777777777777, 50.0, 28.571428571428573, 8.333333333333334]",1.0,9,8,0.7142857142857143,0.5,0.7142857142857143,0.7142857142857143
40,0.9799531698226929,0.9799531698226929,0.9799531698226929,48.892302243490086,"[6, 4, 2, 1]","[7, 6, 5, 4]","[85.71428571428571, 66.66666666666667, 40.0, 25.0]",1.0,7,7,0.8571428571428571,0.6666666666666666,0.8571428571428571,0.8571428571428571
41,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
42,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
43,0.983605146408081,0.9533110857009888,0.9682211875915527,17.39350277271197,"[5, 2, 0, 0]","[6, 5, 4, 3]","[83.33333333333333, 40.0, 12.5, 8.333333333333334]",0.7165313105737893,6,8,0.6666666666666666,0.2,0.6666666666666666,0.6666666666666666
44,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
45,0.9036070704460144,0.899381697177887,0.9014893770217896,23.04318198457308,"[5, 3, 1, 0]","[6, 5, 4, 3]","[83.33333333333333, 60.0, 25.0, 16.666666666666668]",0.6065306597126334,6,9,0.6666666666666666,0.4,0.6666666666666666,0.6666666666666666
46,0.9668030738830566,0.9668030738830566,0.9668030738830566,63.15552371794039,"[9, 7, 5, 4]","[11, 10, 9, 8]","[81.81818181818181, 70.0, 55.55555555555556, 50.0]",1.0,11,11,0.8000000000000002,0.6666666666666666,0.8000000000000002,0.8000000000000002
47,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
48,0.9097625017166138,0.9107138514518738,0.9073892831802368,21.069764742263047,"[6, 3, 1, 0]","[8, 7, 6, 5]","[75.0, 42.857142857142854, 16.666666666666668, 10.0]",0.7788007830714049,8,10,0.6666666666666666,0.4615384615384615,0.6666666666666666,0.6666666666666666
49,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
50,1.0,1.0,1.0,100.00000000000004,"[9, 8, 7, 6]","[9, 8, 7, 6]","[100.0, 100.0, 100.0, 100.0]",1.0,9,9,1.0,1.0,1.0,1.0
51,1.0,1.0,1.0,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
52,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
53,0.9726512432098389,0.9519506692886353,0.9621896743774414,24.329268691415322,"[8, 4, 1, 0]","[8, 7, 6, 5]","[100.0, 57.142857142857146, 16.666666666666668, 10.0]",0.7788007830714049,8,10,0.75,0.42857142857142855,0.75,0.75
54,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
55,0.9473837614059448,0.9138255715370178,0.9303021430969238,59.00922157527738,"[13, 11, 8, 6]","[14, 13, 12, 11]","[92.85714285714286, 84.61538461538461, 66.66666666666667, 54.54545454545455]",0.8071177470053894,14,17,0.75,0.5454545454545455,0.75,0.75
56,0.8834683299064636,0.941520094871521,0.9115709662437439,46.713797772819994,"[6, 4, 3, 2]","[9, 8, 7, 6]","[66.66666666666667, 50.0, 42.857142857142854, 33.333333333333336]",1.0,9,9,0.7058823529411765,0.5333333333333333,0.7058823529411765,0.7058823529411765
57,1.0000001192092896,1.0000001192092896,1.0000001192092896,100.00000000000004,"[7, 6, 5, 4]","[7, 6, 5, 4]","[100.0, 100.0, 100.0, 100.0]",1.0,7,7,1.0,1.0,1.0,1.0
58,0.975320041179657,0.9254612922668457,0.9497367739677429,69.14415692838826,"[8, 6, 4, 2]","[8, 7, 6, 5]","[100.0, 85.71428571428571, 66.66666666666667, 40.0]",1.0,8,8,0.8235294117647058,0.6666666666666667,0.8235294117647058,0.8235294117647058
59,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
60,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
