,bert_precision,bert_recall,bert_f1,bleu_score,bleu_counts,bleu_totals,bleu_precisions,bleu_bp,bleu_sys_len,bleu_ref_len,rouge_rouge1,rouge_rouge2,rouge_rougeL,rouge_rougeLsum
13,0.9379259347915649,0.9411261677742004,0.9395232796669006,45.32799119298722,"[17, 11, 7, 3]","[19, 18, 17, 16]","[89.47368421052632, 61.111111111111114, 41.1764705882353, 18.75]",1.0,19,19,0.8666666666666667,0.7857142857142857,0.7333333333333333,0.7333333333333333
14,0.9573197960853577,0.9291606545448303,0.9380494356155396,51.16740677238964,"[10, 8, 5, 4]","[13, 12, 11, 10]","[76.92307692307692, 66.66666666666667, 45.45454545454545, 40.0]",0.925961078642316,13,14,0.64,0.42857142857142855,0.64,0.64
15,0.9116725921630859,0.9180046319961548,0.9148276448249817,17.827531042796263,"[8, 3, 1, 0]","[12, 11, 10, 9]","[66.66666666666667, 27.272727272727273, 10.0, 5.555555555555555]",1.0,12,11,0.5714285714285713,0.2105263157894737,0.4799999999999999,0.4799999999999999
16,0.9546098709106445,0.9494152069091797,0.9520054459571838,75.83387168079265,"[36, 31, 27, 24]","[38, 37, 36, 35]","[94.73684210526316, 83.78378378378379, 75.0, 68.57142857142857]",0.9487294800164372,38,40,0.8529411764705883,0.696969696969697,0.823529411764706,0.823529411764706
17,0.9282832741737366,0.9783653020858765,0.9526665210723877,51.33450480401705,"[7, 5, 3, 2]","[9, 8, 7, 6]","[77.77777777777777, 62.5, 42.857142857142854, 33.333333333333336]",1.0,9,8,0.923076923076923,0.7272727272727272,0.923076923076923,0.923076923076923
18,0.9275328516960144,0.937875509262085,0.9326754808425903,57.09697288659155,"[22, 16, 11, 7]","[24, 23, 22, 21]","[91.66666666666667, 69.56521739130434, 50.0, 33.333333333333336]",1.0,24,24,0.8095238095238095,0.6,0.6511627906976744,0.6511627906976744
19,0.9999998807907104,0.9999998807907104,0.9999998807907104,100.00000000000004,"[12, 11, 10, 9]","[12, 11, 10, 9]","[100.0, 100.0, 100.0, 100.0]",1.0,12,12,1.0,1.0,1.0,1.0
20,1.0,1.0,1.0,100.00000000000004,"[6, 5, 4, 3]","[6, 5, 4, 3]","[100.0, 100.0, 100.0, 100.0]",1.0,6,6,1.0,1.0,1.0,1.0
21,0.9572592973709106,0.9674911499023438,0.9623480439186096,57.73502691896257,"[11, 8, 5, 3]","[12, 11, 10, 9]","[91.66666666666667, 72.72727272727273, 50.0, 33.333333333333336]",1.0,12,11,1.0,0.6666666666666666,0.8000000000000002,0.8000000000000002
22,1.0,1.0,1.0,100.00000000000004,"[8, 7, 6, 5]","[8, 7, 6, 5]","[100.0, 100.0, 100.0, 100.0]",1.0,8,8,1.0,1.0,1.0,1.0
