,med_scores,record_idx,f1_scores
2162,11.0,15068,1.0
2188,24.0,15660,0.8571428571428571
2190,24.0,15660,0.8571428571428571
2192,24.666666666666668,15660,0.8571428571428571
2198,19.333333333333332,15573,0.8571428571428571
2206,19.0,15017,0.4
2208,18.0,15017,0.5
2210,18.0,15017,0.5
2354,20.408163265306122,16076,1.0
2356,20.408163265306122,16076,1.0
2358,20.408163265306122,16076,1.0
2390,20.32,15960,1.0
2392,20.32,15960,1.0
2430,0.0,14651,1.0
2432,0.0,14651,1.0
2578,17.833333333333332,15722,0.8571428571428571
2580,18.1875,15722,0.75
2582,18.1875,15722,0.75
2602,14.666666666666666,15379,0.8
2604,14.666666666666666,15379,1.0
2606,14.444444444444445,15379,0.3333333333333333
2626,0.0,14664,1.0
2628,9.0,14664,0.0
2666,2.0,14846,0.0
2668,0.0,14846,1.0
2702,14.5,14951,1.0
2704,14.5,14951,1.0
2808,11.5,15060,1.0
2810,11.5,15060,1.0
2812,11.5,15060,1.0
2896,20.0,15271,1.0
2898,20.0,15271,1.0
2900,20.0,15271,1.0
2986,27.0,15391,0.6666666666666666
2988,27.0,15391,0.6666666666666666
2990,28.88888888888889,15391,1.0
3024,18.56,15924,1.0
3026,18.56,15924,1.0
3028,18.56,15924,1.0
3086,0.0,14613,1.0
3088,0.0,14613,1.0
3090,0.0,14771,1.0
3092,0.0,14771,1.0
3094,0.0,14771,1.0
3108,18.4,16005,0.8000000000000002
3110,18.4,16005,0.8000000000000002
3112,18.4,16005,0.8000000000000002
3134,17.44,15850,0.6
3136,17.25,15850,0.888888888888889
3138,17.64,15850,0.6
3140,9.222222222222221,15348,0.6666666666666666
3142,9.11111111111111,15348,1.0
3144,9.11111111111111,15348,1.0
3236,26.375,15720,0.75
3238,26.5625,15720,0.75
3240,26.25,15720,0.28571428571428575
3440,0.0,14643,1.0
3442,0.0,14643,1.0
3480,19.333333333333332,15357,1.0
3482,19.333333333333332,15357,1.0
3546,14.666666666666666,15305,1.0
3548,15.777777777777779,15305,0.6666666666666666
3550,14.666666666666666,15305,1.0
3560,28.8,15898,1.0
3562,30.36,15898,0.8000000000000002
3564,18.75,15597,0.8571428571428571
3630,33.541666666666664,16065,0.4
3632,34.583333333333336,16065,0.4
3634,29.033333333333335,16065,0.5454545454545454
3672,24.95,15984,0.888888888888889
3674,24.95,15984,0.888888888888889
3676,24.95,15984,0.888888888888889
